Autor_norm,Afiliacion1,Afiliacion2,num_articulos
Gabriel Armando Rios Esparza,Facultad de Ingeniería,,1
Gabriel Eduardo Mejia Ruiz,Facultad de Ingeniería,,1
Gabriel Isaac Corkidi Blanco,Instituto de Biotecnología,,1
Gabriela Gonzalez Gonzalez,Facultad de Medicina,,1
Gemma Aidde Osorio Duran,Instituto de Física,,1
Georgina Eslava Garcia,Facultad de Estudios Superiores Acatlán,,1
Gerardo Altamirano Gomez,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Gerardo Maldonado,Escuela Nacional de Estudios Superiores Unidad Morelia,Centro de Ciencias Matemáticas,1
Gerardo Salazar,Instituto de Biología,,1
Gerardo Sanchez Gonzalez,Facultad de Ciencias,,1
German Abraham Gonzalez Sanchez,Facultad de Ingeniería,,1
German Andres Holguin Londono,Instituto de Ciencias Aplicadas y Tecnología,,1
German Benitez Bobadilla,Facultad de Ciencias,,1
Gianella Valencia,Instituto de Ingeniería,,1
Gibran Zazueta,Universidad Nacional Autonoma de Mexico,,1
Gilberto Ruiz Espinosa,Facultad de Ingeniería,,1
Gonzalo Hedain Lopez Mera,Facultad de Estudios Superiores Cuautitlán,,1
Graciela Herrera Zamarrón,Instituto de Geofísica,,1
Guillermina Yanez Tellez,Facultad de Estudios Superiores Iztacala,,1
Guillermo Gilberto Molero Castillo,Facultad de Ingeniería,,1
Gustavo Alejandro Castro Vazquez,Facultad de Ingeniería,,1
Gustavo Velasquez Rodriguez,Facultad de Ingeniería,,1
Hector Diaz,Instituto de Fisiología Celular,,1
Hector Rodrigo Amezcua,Facultad de Ingeniería,,1
Hiram Calvo,Facultad de Estudios Superiores Cuautitlán,,1
Hugo Didier Longines Tapia,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Hugo Hernandez Barrios,Facultad de Estudios Superiores Acatlán,,1
Humberto Lozano Chavez,Facultad de Ciencias,,1
Huziel E Sauceda,Instituto de Física,,1
Héctor Guerrero,Instituto de Ingeniería,,1
I Perez Ruiz,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Igor Lugo,Centro Regional de Investigaciones Multidisciplinarias,,1
Ilia Markov,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Irene Vergara,Instituto de Investigaciones Biomédicas,,1
Irving Garcia Martinez,Facultad de Ingeniería,,1
Ivan Giovanni Valdespin Garcia,Facultad de Estudios Superiores Acatlán,,1
Ivan Zavala,Instituto de Astronomía,,1
J E Lavin Delgado,Escuela Nacional de Estudios Superiores Unidad Juriquilla,,1
J E Perez Leon,Instituto de Astronomía,,1
J E Solís Pérez,Escuela Nacional de Estudios Superiores Unidad Juriquilla,,1
J H Castro Chacon,Instituto de Astronomía,,1
J J Gonzalez Aviles,Escuela Nacional de Estudios Superiores Unidad Morelia,,1
J Moreno Saenz,Centro de Física Aplicada y Tecnología Avanzada,,1
Jaime A Moreno,Instituto de Ingeniería,,1
Jaime Humberto Urrutia Fucugauchi,Instituto de Geofísica,,1
Jaime Pena Antonio,Instituto de Ciencias Aplicadas y Tecnología,,1
Javier Hernandez Landa,Instituto de Astronomía,,1
Javier Tovar Cortes,Facultad de Ciencias,,1
Jean Paul Sanchez Castaneda,Universidad Nacional Autonoma de Mexico,,1
Jehu Lopez Aparicio,Facultad de Ciencias,,1
Jeili Leilani Caballero Chavez,Facultad de Ingeniería,,1
Jessica Barco,Universidad Nacional Autonoma de Mexico,,1
Jesus Alejandro Torres Hurtado,Facultad de Ciencias,,1
Jesus Delolmo Marquez,Instituto de Ciencias Aplicadas y Tecnología,,1
Jesus Manuel Alvarez Lopez,Instituto de Fisiología Celular,,1
Jesus Moises Hernandez Duarte,Facultad de Estudios Superiores Cuautitlán,,1
Jesus Perez Romero,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Joana Hernandez,Instituto de Ingeniería,,1
Joaquin Barroso Flores,Instituto de Química,,1
Joel Rodriguez Herrera,Centro de Ciencias Genómicas,,1
Joel Sanchez Bermudez,Instituto de Astronomía,,1
Jorge Alberto Márquez Flores,Instituto de Ciencias Aplicadas y Tecnología,,1
Jorge Armando Hughes Cano,Instituto de Neurobiología,,1
Jorge Cravioto Lagos,Universidad Nacional Autonoma de Mexico,,1
Jorge Ignacio Gonzalez Cazares,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Jorge Karolt Barrera Ballesteros,Instituto de Astronomía,,1
Jorge L Valencia,Facultad de Ingeniería,,1
Jorge Luis Martinez Valencia,Instituto de Ciencias Aplicadas y Tecnología,,1
Jorge Pantaleon,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Jorge Rodrigo Sigal Sefchovich,Escuela Nacional de Estudios Superiores Unidad Morelia,,1
Jorge Rojas Arce,Facultad de Ingeniería,,1
Jorge Tellez Torres,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Jorge Valeriano Assem,Universidad Nacional Autonoma de Mexico,,1
Jose Alberto Aparicio Santos,Dirección General de Cómputo y de Tecnologías de Información y Comunicación,,1
Jose Armando Torres Lopez,Facultad de Ingeniería,,1
Jose Carlos Moreno Tagle,Facultad de Ingeniería,,1
Jose Castillo Hernandez,Instituto de Ciencias Aplicadas y Tecnología,,1
Jose De Leo Jimenez,Instituto de Neurobiología,,1
Jose Eduardo Gonzalez Mireles,Facultad de Ciencias,,1
Jose Frias,Facultad de Ciencias,,1
Jose Huerta Morales,Instituto de Ciencias Nucleares,,1
Jose Ismael Martinez Lopez,Facultad de Ingeniería,,1
Jose Luis Aragon Vera,Centro de Física Aplicada y Tecnología Avanzada,,1
Jose Luis Medina Franco,Facultad de Química,,1
Jose Luis Vilas,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,1
Jose Manuel Mejia Munoz,Facultad de Estudios Superiores Aragón,,1
Jose Manuel Ramos Guerrero,Facultad de Ingeniería,,1
Jose Moreno Corbea,Universidad Nacional Autonoma de Mexico,,1
Jose Zarate,Facultad de Ingeniería,,1
José Abel Herrera Camacho,Universidad Nacional Autonoma de Mexico,,1
José Luis Álvarez Rebollar,Universidad Nacional Autonoma de Mexico,,1
José Rubén Alfaro Molina,Instituto de Física,,1
Juan Carlos Albarran,Facultad de Ingeniería,,1
Juan Carlos Andrade Ortiz,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas Unidad Yucatán,,1
Juan Carlos Barajas,Facultad de Ciencias,,1
Juan Carlos Garcia Altamirano,Instituto de Matemáticas,,1
Juan Carlos Hidalgo Cuellar,Instituto de Ciencias Físicas,,1
Juan Echevarria,Instituto de Astronomía,,1
Juan Pablo Cruz Bastida,Instituto de Física,,1
Juan Pablo Gutierrez,Universidad Nacional Autonoma de Mexico,,1
Juan Pablo Reyes Grajeda,Universidad Nacional Autonoma de Mexico,,1
Juan Ramos Alvarez,Universidad Nacional Autonoma de Mexico,,1
Juan Vásquez,Universidad Nacional Autonoma de Mexico,,1
Julian Bravo Castillero,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas Unidad Yucatán,,1
