Title,Author,Author affiliation,Source,Publisher/Repository,Volume and Issue,Pages,Issue date,Monograph title,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider
"Towards a Robotically Steerable Laser Ablation Probe","Ceja, Julio Adrian (1); Rezaeian, Saeed (1); Rodrigo Velez-Cordero, J. (2); Hernandez-Cordero, Juan (3); Badie, Behnam (4); Sheng, Jun (1) ","(1) University of California Riverside, Department of Mechanical Engineering, Riverside; CA; 92521, United States (2) Autonomous University of San Luis Po-tosi, San Luis Potosí, Mexico (3) National Autonomous University of Mexico, Mexico City, Mexico (4) City of Hope National Medical Center, Duarte; CA; 91010, United States ","2024 International Symposium on Medical Robotics, ISMR 2024","Institute of Electrical and Electronics Engineers Inc.","","","2024","2024 International Symposium on Medical Robotics, ISMR 2024","2024","","","","9798350377118","10.1109/ISMR63436.2024.10586060","2024 International Symposium on Medical Robotics, ISMR 2024","June 3, 2024 - June 5, 2024","","In this paper, we present a robotically steerable laser ablation probe with application to interstitial thermal therapy. Existing laser interstitial thermal therapy (LITT) methods utilize a straight probe to deliver laser energy around the tip or to the side of the tip. These methods are inadequate to provide effective treatment for large, irregularly shaped tumors. Our robotic probe can be manipulated inside soft tissue to perform ablation at multiple locations, thus enabling conformable ablation for large and complicated tumors. Instead of directly firing laser into soft tissue, a Polydimethylsiloxane (PDMS)/Carbon nanoparticles (CNPs) mixture hosts a multi-mode optical fiber at the probe tip to work as a heater when laser is activated to improve the procedural safety. This paper presents the design and fabrication of the robotic ablation probe, simulation of laser thermal transformation using finite element analysis, and experimental studies that characterize the robot motion and heating effects and demonstrate in vitro ablation. © 2024 IEEE.","37","Probes","Laser ablation - Machine design - Optical fiber fabrication - Optical fibers - Polydimethylsiloxane - Robotics - Silicones - Tumors","Carbon nanoparticles - Interstitials - Laser interstitial thermal therapies - Laser's energy - Lasers ablations - Multimodes - Probe tips - Robotic probes - Soft tissue - Thermal therapies","461.2 Biological Materials and Tissue Engineering - 601 Mechanical Design - 641.2 Heat Transfer - 731.5 Robotics - 741.1.2 Fiber Optics - 744.8 Laser Beam Interactions - 815.1.1 Organic Polymers","",,"Number: -, Acronym: NIBIB, Sponsor: National Institute of Biomedical Imaging and Bioengineering; Number: R21EB033896, Acronym: NIH, Sponsor: National Institutes of Health; ","We would like to acknowledge Joel Eusebio Tan for his contribution to the design and fabrication of the robot prototype. Research reported in this publication was supported by the University of California Office of the President Cancer Research Coordinating Committee (CRCC) and the National Institute of Biomedical Imaging and Bioengineering of the National Institutes of Health under Award Number R21EB033896. The content is solely the responsibility of the authors and does not necessarily represent the official views of the CRCC or the National Institutes of Health.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Mutual Adaptation Model of Operator and Controlled Object in Ergatic Robotic System","Galin, R. (1); Meshcheryakov, R. (1); Turovsky, Y. (1); Galina, S. (1) ","(1) Trapeznikov Institute of Control Sciences, 65 Profsoyuznaya St., Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","229-39","2024","","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_17","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","The presented paper deals with the problem of developing a model of mutual adaptation of the operator and the controlled object in an ergative robotic system. The simplest collaborative robotic system is taken as a robotic system, the participants of which are a manipulator type robot and an operator. Mutual adaptation in the control process is considered on the example of a system with service discipline and application of an alternative approach. An example of solving the problem of adapting the service discipline of a mass service system under conditions of unpredictability of the external environment, which inevitably change the optimal setting of the service discipline, is given. The main components of the developed model of the system with adaptive control on the basis of neural network are given. The basic structure of this system is proposed. In this way it will be possible to move to a suboptimal solution in the current situation, extremizing the given criterion of efficiency of system functioning. The paper provides an overview of work in the field of robot control and applications for robotic systems using neural networks.","25",,"adaptive control - human-robot interaction - mobile robots - path planning","adaptive control - ergatic robotic system - ergative robotic system - manipulator type robot - mass service system - mutual adaptation model - presented paper deals - robot control - service discipline - simplest collaborative robotic system - system functioning","C1340E Self-adjusting control systems - E2230 Robot and manipulator mechanics - C3120C Spatial variables control - C3390M Manipulators - C3390C Mobile robots - C3390 Robotics - C6180R Human-robot interaction - C7420 Control engineering computing","G05D3/00 - G05B15/00 - G05D1/00 - B25J - G05B13/00 - B25J13/00 - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Academic Achievement of Higher-Middle Education Students in Chihuahua: A Pre and Post COVID-19 Pandemic Analysis","Céspedes-González, Yaimara (1); Escobar, Alma Delia Otero (1); Molero-Castillo, Guillermo (2) ","(1) Universidad Veracruzana, Veracruz, Xalapa, Mexico (2) Universidad Nacional Autónoma de México, Mexico City, Mexico ","Lecture Notes in Networks and Systems","Springer Science and Business Media Deutschland GmbH","v 1285 LNNS","p 554-571","2025","Advances in Information and Communication - Proceedings of the 2025 Future of Information and Communication Conference FICC","2025","","23673370","23673389","9783031844591","10.1007/978-3-031-84460-7_35","Future of Information and Communication Conference, FICC 2025","April 28, 2025 - April 29, 2025","","The education has a crucial role in the society; therefore, it is important to have quality education systems. However, the COVID-19 pandemic influenced education. Therefore, it is interesting to know to what extent education was affected due to this health crisis. In this sense, the academic achievement of students is an indicator that allows knowing the quality of educational systems. One way to measure this indicator is through the analysis of standardized test results, like PLANEA in Mexico. This research paper presents the analysis of academic achievement in mathematics of higher-middle education students, before and after the COVID-19 pandemic, in the state of Chihuahua, using an approach based on computational intelligence. To reach the goal, an unsupervised learning approach based on K-means was used, an algorithm that models a set of input variables and assigns elements (data vectors) with similar characteristics to certain clusters. The solution method consisted of four stages: data acquisition, variable selection, algorithm application, and number of clusters definition. As a result, a differentiated segmentation was obtained for the evaluated periods (2017 and 2022). Furthermore, based on this segmentation, some characteristics were identified for each level of academic achievement reached by the students: deficient, elementary, satisfactory, and outstanding. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","36","Algebra","Computational methods - Geometry - Learning algorithms - Set theory - Students - Teaching","Academic achievements - Academic performance - Education systems - Educational systems - Health crisis - High-middle education - Me-xico - Quality education - Research papers - Standardized tests","901.2 Education - 1101.2 Machine Learning - 1201.1 Algebra and Number Theory - 1201.5 Computational Mathematics - 1201.8 Discrete Mathematics and Combinatorics, Includes Graph Theory, Set Theory - 1201.14 Geometry and Topology","",,,,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Towards a Robotically Steerable Laser Ablation Probe","Ceja, J.A. (1); Rezaeian, S. (1); Velez-Cordero, J.R. (2); Hernandez-Cordero, J. (3); Badie, B. (4); Sheng, J. (1) ","(1) University of California, Riverside, Department of Mechanical Engineering, Riverside, CA 92521, United States (2) Autonomous University of San Luis Po-tosi, San Luis Potosí, Mexico (3) National Autonomous University of Mexico, Mexico (4) City of Hope National Medical Center, Duarte, CA 91010, United States ","2024 International Symposium on Medical Robotics (ISMR)","IEEE, Piscataway, NJ, USA","","1-7","2024","","","","","","979-8-3503-7711-8","10.1109/ISMR63436.2024.10586060","2024 International Symposium on Medical Robotics (ISMR)","2024","Atlanta, GA, USA","In this paper, we present a robotically steerable laser ablation probe with application to interstitial thermal therapy. Existing laser interstitial thermal therapy (LITT) methods utilize a straight probe to deliver laser energy around the tip or to the side of the tip. These methods are inadequate to provide effective treatment for large, irregularly shaped tumors. Our robotic probe can be manipulated inside soft tissue to perform ablation at multiple locations, thus enabling conformable ablation for large and complicated tumors. Instead of directly firing laser into soft tissue, a Polydimethylsiloxane (PDMS)/Carbon nanoparticles (CNPs) mixture hosts a multi-mode optical fiber at the probe tip to work as a heater when laser is activated to improve the procedural safety. This paper presents the design and fabrication of the robotic ablation probe, simulation of laser thermal transformation using finite element analysis, and experimental studies that characterize the robot motion and heating effects and demonstrate in vitro ablation.","0",,"biothermics - cancer - carbon - finite element analysis - laser ablation - laser applications in medicine - medical robotics - mixtures - nanomedicine - nanoparticles - polymers - radiation therapy - tumours","C/el - conformable ablation - finite element analysis - heater - heating effects - in vitro ablation - laser energy - laser interstitial thermal therapy methods - laser thermal transformation - multimode optical fiber - polydimethylsiloxane-carbon nanoparticle mixture - probe tip - procedural safety - robot motion - robotic ablation probe - robotic probe - robotically steerable laser ablation probe - soft tissue - tumors","A0260 Numerical approximation and analysis - B0290T Finite element analysis - C3385 Biological and medical control systems - C3390 Robotics - C4185 Finite element analysis - B4360H Biological and medical applications of lasers - B7520C Radiation therapy - B7820 Sonic and ultrasonic applications - A8716 Biothermics - A8760F Optical and laser radiation (medical uses) - A8770H Radiation therapy - A8783 Nanotechnology applications in biomedicine","A61N5/00 - B82Y5/00 - B82B1/00 - C01B32/00","Practical (PRA); Theoretical or Mathematical (THR); Experimental (EXP)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Tracing ongoing quenching in jellyfish galaxies at z ∼ 0.35","Werle, A. (1); Poggianti, B. (1); Moretti, A. (1); Fritz, J. (2); Vulcani, B. (1); Bellhouse, C. (3); Radovich, M. (1); Gullieuszik, M. (1); Marasco, A. (1); Khoram, A.H. (4, 5); Campbell, S. (6); Leung, H.-H. (7); Acharyya, A. (1); Sasse, V.H. (8); Watson, P.J. (1); Tomicic, N. (9); Richard, J. (10) ","(1) INAF, Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, Italy (2) Universidad Nacional Autonoma de Mexico, Instituto de Radioastronomía y Astrofísica, Michoacan, Mexico (3) University of Nottingham, School of Physics and Astronomy, University Park, United Kingdom (4) Universite di Bologna, Dipartimento di Fisica e Astronomia, Via Gobetti 93/2, Italy (5) INAF, Osservatorio di Astrofisica e Scienza dello Spazio, Via Piero Gobetti 93/3, Italy (6) Newcastle University, School of Mathematics, Statistics and Physics, United Kingdom (7) University of Edinburgh, Institute for Astronomy, United Kingdom (8) Universidade Federal de Santa Catarina, Departamento de Fisica, Brazil (9) University of Zagreb, Department of Physics, Bijenicka 32, Croatia (10) Univ. Lyon, Centre de Recherche Astrophysique de Lyon, France ","Astronomy & Astrophysics","EDP Sciences, France","v 699","A188 (10 pp.)","July 2025","","","","1432-0746","","","10.1051/0004-6361/202453646","","","","M*), while for ΣM* < 107.5 M⊙ kpc−2, they follow the same ΣM*−ΣSFR Jellyfish galaxies display long tails of gas that was removed from their stellar disks through a process known as ram-pressure stripping. These objects represent a fast transition phase between star-forming and quiescent galaxies and are often regarded as the progenitors of cluster post-starburst galaxies. We explore the evolution of these systems at 0.29< z< 0.5 by identifying quenched regions in their stellar disks. To do this, we introduce a new spectral classification method based on convolutional neural networks. Signatures of ongoing quenching are detected in a relevant fraction of the stellar disk in 6 out of 18 jellyfish galaxies. When the objects with the longest tails are considered alone, however, the detection rate of quenched regions is much higher (6 out of 8 galaxies). Quenched regions are typically organized in arc-shaped regions and are concentrated at the leading edge of the disk (opposite to the tail). The global star formation rates (SFRs) of quenching jellyfish galaxies that still remain partially star-forming are systematically higher than those of other jellyfish galaxies. The SFR enhancement in jellyfish galaxies that undergo quenching is concentrated in their central regions (high stellar mass density Σrelation as other jellyfish galaxies. Our results indicate a scenario in which gas is quickly stripped from the outskirts of the stellar disks while star formation is boosted toward the central regions of galaxies. This might lead to the outside-in quenching patterns that are observed in cluster post-starburst galaxies.","62",,"active galaxies - galaxies - star formation - stellar mass","18 jellyfish galaxies - cluster post-starburst galaxies - ongoing quenching - quenched regions - quenching jellyfish galaxies - quiescent galaxies - star-forming - stellar disk","A9710B Star formation - A9840L Star-forming regions - A9850K Groups, clusters, and superclusters of galaxies - A9850G Radiation and spectra of galaxies - A9850E Galactic structure, content and morphology - A9850B Origin, evolution, and ages of galaxies - A9850R Active and peculiar galaxies","","Theoretical or Mathematical (THR); Experimental (EXP)",,,"All Open Access, Gold","Inspec","Copyright 2026, The Institution of Engineering and Technology","Engineering Village"
"Constraints on primordial non-Gaussianity from the cross-correlation of DESI luminous red galaxies and Planck CMB lensing","Bermejo-Climent, J.R. (1, 2, 3); Demina, R. (2); Krolewski, A. (4, 5, 6); Chaussidon, E. (7); Rezaie, M. (8); Ahlen, S. (9); Bailey, S. (7); Bianchi, D. (10); Brooks, D. (11); Burtin, E. (12); Claybaugh, T. (7); De La Macorra, A. (13); Dey, A. (14); Doel, P. (11); Farren, G. (7); Ferraro, S. (7); Forero-Romero, J.E. (15); Gaztañaga, E. (16, 17, 18); Gontcho A Gontcho, S. (7); Gutierrez, G. (19); Hahn, C. (20); Honscheid, K. (21); Howlett, C. (22); Kehoe, R. (23); Kirkby, D. (24); Kisner, T. (7); Landriau, M. (7); Le Guillou, L. (25); Levi, M.E. (7); Manera, M. (26, 27); Meisner, A. (14); Miquel, R. (27, 28); Moustakas, J. (29); Newman, J.A. (30); Niz, G. (31, 32); Palanque-Delabrouille, N. (7, 12); Percival, W.J. (4, 5, 6); Prada, F. (33); Pérez-Ràfols, I. (34); Rabinowitz, D. (35); Ross, A.J. (21); Rossi, G. (36); Sanchez, E. (37); Schlegel, D. (7); Sprayberry, D. (14); Tarlé, G. (38); Weaver, B.A. (14); White, M. (39); Yèche, C. (12); Zarrouk, P. (25) ","(1) Instituto de Astrofisica de Canarias, C/ Vía Láctea, s/n, La Laguna, Spain (2) University of Rochester, Department of Physics & Astronomy, 206 Bausch and Lomb Hall, P.O. Box 270171, 14627-0171, Rochester, NY 14627-0171, United States (3) Universidad de La Laguna, Departamento de Astroísica, Spain (4) University of Waterloo, Department of Physics and Astronomy, N2L 3G1, Waterloo, ON N2L 3G1, Canada (5) Perimeter Institute for Theoretical Physics, 31 Caroline St. North, N2L 2Y5, Waterloo, ON N2L 2Y5, Canada (6) University of Waterloo Centre for Astrophysics, N2L 3G1, Waterloo, ON N2L 3G1, Canada (7) E O Lawrence Berkeley National Laboratory, 1 Cyclotron Road, 94720, Berkeley, CA 94720, United States (8) Kansas State University, Department of Physics, 116 Cardwell Hall, 66506, Manhattan, KS 66506, United States (9) Boston University, Physics Department, 590 Commonwealth Avenue, 02215, Boston, MA 2215, United States (10) Universita degli Studi di Milano, Dipartimento di Fisica 'Aldo Pontremoli', Via Celoria 16, Italy (11) University College London, Department of Physics & Astronomy, Gower Street, United Kingdom (12) Institut de Recherche sur les Lois Fondamentales de l'Univers, France (13) Universidad Nacional Autonoma de Mexico, Instituto de Fisica, Mexico (14) NOIRLab, 950 N. Cherry Ave., 85719, Tucson, AZ 85719, United States (15) Universidad de los Andes, Departamento de Física, Cra. 1 No. 18A-10, Colombia (16) Institut d'Estudis Espacials de Catalunya, c/ Esteve Terradas 1, Spain (17) University of Portsmouth, Institute of Cosmology and Gravitation, United Kingdom (18) Escola Politecnica Superior d'Alcoi, Institute of Space Sciences, Carrer de Can Magrans s/n, Barcelona, Spain (19) Fermi National Accelerator Laboratory, PO Box 500, 60510, Batavia, IL 60510, United States (20) Princeton University Department of Art & Archaeology, Department of Astrophysical Sciences, 08544, Princeton, NJ 8544, United States (21) Ohio State University, Center for Cosmology and AstroParticle Physics, 191 West Woodruff Avenue, 43210, Columbus, OH 43210, United States (22) University of Queensland, School of Mathematics and Physics, 4072, Brisbane, QLD 4072, Australia (23) Southern Methodist University, Department of Physics, 3215 Daniel Avenue, 75275, Dallas, TX 75275, United States (24) University of California Irvine, Department of Physics and Astronomy, 92697, Irvine, CA 92697, United States (25) Sorbonne Universite, Institut National de Physique Nucleaire et de Physique des Particules, France (26) Universitat Autonoma de Barcelona, Spain (27) Barcelona Institute of Science and Technology, Institut de Fisica d'Altes Energies, Edifici Cn, Campus UAB, Barcelona, Spain (28) Passeig de Lluis Companys, Institucio Catalana de Recerca i Estudis Avançats, 23, Spain (29) Siena College, Department of Physics and Astronomy, 515 Loudon Road, 12211, Loudonville, NY 12211, United States (30) University of Pittsburgh, Department of Physics & Astronomy and Pittsburgh Particle Physics, 3941 O'Hara Street, 15260, Pittsburgh, PA 15260, United States (31) Universidad de Guanajuato, Departamento de Física, Loma del Bosque 103, Mexico (32) Instituto Avanzado de Cosmologia A. C., San Marcos 11 - Atenas 202. Magdalena Contreras, Mexico (33) Instituto de Astrofisica de Andalucia, Glorieta de la Astronomia, s/n, Spain (34) Universitat Politecnica de Catalunya, Departament de Fisica, c/Eduard Maristany 10, Spain (35) Yale University, Physics Department, P.O. Box 208120, 06511, New Haven, CT 6511, United States (36) Sejong University, Department of Physics and Astronomy, 209 Neungdong-ro, Korea, Republic of (37) Centro de Investigaciones Energeticas Medioambientales y Tecnologicas, Avenida Complutense 40, Spain (38) University of Michigan, 500 S. State Street, 48109, Ann Arbor, MI 48109, United States (39) University of California Berkeley, Department of Physics, 366 LeConte Hall MC 7300, 94720-7300, Berkeley, CA 94720-7300, United States ","Astronomy & Astrophysics","EDP Sciences, France","v 698","A177 (13 pp.)","June 2025","","","","1432-0746","","","10.1051/0004-6361/202453446","","","","Aims. We use the angular cross-correlation between a luminous red galaxy (LRG) sample from the Dark Energy Spectroscopic Instrument (DESI) Legacy Survey data release DR9 and the Planck cosmic microwave background (CMB) lensing maps to constrain the local primordial non-Gaussianity parameter, fNL, using the scale-dependent galaxy bias effect. The galaxy sample covers approximately 40% of the sky, contains galaxies up to redshift z ∼ 1.4, and is calibrated with the LRG spectra that have been observed for DESI Year 1 (Y1). Methods. We apply a nonlinear imaging systematics treatment based on neural networks to remove observational effects that could potentially bias the fNL measurement. Our measurement is performed without blinding, but the full analysis pipeline is tested with simulations including systematics. Results. Using the two-point angular cross-correlation between LRG and CMB lensing only, we find fNL = 39−38 +40 at the 68% confidence level, and our result is robust in terms of systematics and cosmological assumptions. If we combine this information with the autocorrelation of LRG, applying a scale cut to limit the impact of systematics, we find fNL = 24−21 +20 at the 68% confidence level. Our results motivate the use of CMB lensing cross-correlations to measure fNL with future datasets, given its stability in terms of observational systematics compared to the angular autocorrelation. Furthermore, performing accurate systematics mitigation is crucially important in order to achieve competitive constraints on fNL from CMB lensing cross-correlation in combination with the tracers' autocorrelation.","79",,"astronomical surveys - cosmic acceleration - cosmology - dark energy - dark matter - galaxies - gravitational lenses - radiofrequency cosmic radiation - red shift","68% confidence level - accurate systematics mitigation - CMB lensing cross-correlation - Dark Energy Spectroscopic Instrument Legacy Survey data release DR - DESI luminous red galaxies - DESI Year - fNL measurement - local primordial nonGaussianity parameter - LRG spectra - luminous red galaxy sample - nonlinear imaging systematics treatment - observational effects - observational systematics - Planck CMB lensing - Planck cosmic microwave background lensing maps - scale-dependent galaxy bias effect - two-point angular cross-correlation","A9530S Relativity and gravitation in astrophysics - A9850K Groups, clusters, and superclusters of galaxies - A9850H Red shift, distances, and spatial distribution of galaxies - A9870V Background cosmic radiations - A9880M Dark energy - A9880L Observational cosmology - A9880D Theoretical cosmology - A9880B Origin and early evolution of the Universe","","Theoretical or Mathematical (THR)",,,"All Open Access, Hybrid Gold","Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Surface urban heat island distribution and socioeconomic inequalities in a major Latin American agglomeration","Méndez-Astudillo, J. (1); Caetano, E. (2) ","(1) Universidad Nacional Autonoma de Mexico, Institute of Economic Research, Mexico (2) Universidad Nacional Autonoma de Mexico, Institute of Geography, Mexico ","International Journal of Digital Earth","Taylor & Francis, UK","v 18, n 1","2547290 (17 pp.)","2025","","","","1753-8955","","","10.1080/17538947.2025.2547290","","","","Surface urban heat island (SUHI) distribution in urban areas is influenced by land cover changes caused by urbanization, which are often related to socioeconomic factors. Greater Mexico City (GMC), one of the world's largest urban areas with the most pronounced socioeconomic disparities, provides a unique case for investigating this relationship and was consequently selected for this study. This study integrates socioeconomic data from the 2020 National Economic Census, Marginalization and Deprivation Indices, and environmental variables, such as the Normalized Difference Vegetation Index (NDVI), Normalized Difference Build-Up Index (NDBI), Land Surface Temperature, and aerosol optical depth (AOD), from remote sensing instruments to investigate their relationship with SUHI distribution. Machine learning classifiers, including Random Forest and eXtreme Gradient Boosting, were applied to determine the importance of these variables in defining SUHI patterns. Physical variables (AOD, NDVI, and NDBI) and economic marginalization were found to significantly influence SUHI spatial patterns. The irregular zoning of Mexico City results in similar SUHI exposures across socioeconomic groups. While marginalization does not significantly affect SUHI intensity, less-marginalized groups are better equipped to mitigate its negative impacts. These findings emphasize the need for targeted mitigation strategies based on socioeconomic factors and provide critical insights for sustainable urban planning.","49",,"aerosols - atmospheric temperature - land cover - land surface temperature - random forests - remote sensing - socio-economic effects - thermal pollution - vegetation","aerosol optical depth - deprivation indices - economic marginalization - environmental variables - greater Mexico city - land cover changes - land surface temperature - major latin american agglomeration - NDBI - NDVI - normalized difference Build-Up index - normalized difference vegetation index - pronounced socioeconomic disparities - socioeconomic factors - socioeconomic groups - socioeconomic inequalities - SUHI distribution - SUHI exposures - SUHI intensity - SUHI spatial patterns - sustainable urban planning - urban areas - urban heat island distribution - urbanization","A8670Z Other topics in environmental science - A9185 Geophysical aspects of vegetation - A9190 Other topics in solid Earth physics - A9260M Particles and aerosols in the lower atmosphere - A9260K Temperature of the lower atmosphere - A9265V Clouds, fog, haze, aerosols, effects of pollution on atmospheric optics - A9385 Instrumentation and techniques for geophysical, hydrospheric and lower atmosphere research","G01V - G06N5/00 - G06N20/00","Practical (PRA); Theoretical or Mathematical (THR)",,,"All Open Access, Gold","Inspec","Copyright 2026, The Institution of Engineering and Technology","Engineering Village"
"AI-Driven Synthetic Cohorts to Explore Genetic Associations: Lessons from Testicular Cancer with Relevance to Rare Conditions","Ríos-Rodríguez, Juan Alberto (1); Harari-Arakindji, Sylvia (2); Cuevas-Estrada, Berenice (3); García-Pacheco, José Antonio (3); Ostrosky-Wegman, Patricia (4); Sobrevilla-Moreno, Nora (3); Jiménez-Ríos, Miguel A. (3); Mohar-Betancourt, Alejandro (4); González‐Barrios, Rodrigo (3); Wegman-Ostrosky, Talia (3) ","(1) Tecnologico de Monterrey, Mexico (2) Universidad Anáhuac, Mexico (3) Instituto Nacional de Cancerología, Colombia (4) Universidad Nacional Autónoma de México, Mexico ","Research Square","Research Square","","","November 23, 2025","","2025","","","","","10.21203/rs.3.rs-8099876/v1","","","","Objective Rare cancers often involve small patient cohorts, which limit statistical power and hinder biomarker discovery. This proof-of-concept study evaluates the feasibility of repurposing the Synthpop R package—originally designed for data anonymization—to generate synthetic datasets and improve statistical inference in rare cancer studies. We demonstrate this approach using the association between the MC4R rs79783591 variant and clinical outcomes in testicular germ cell tumors (TGCT). Materials and Methods A retrospective cohort of 220 Mexican TGCT patients was analyzed, identifying 9 heterozygous carriers of the MC4R variant. To overcome limited sample size, we used Synthpop to generate 234 synthetic carriers, maintaining the original data structure and statistical distributions. Dataset fidelity was validated using machine learning models, principal component analysis, and structural similarity metrics. Cox proportional hazards models and Kaplan–Meier survival analyses assessed associations with overall survival. Results Real carriers were diagnosed at a younger median age (22 vs. 26 years). In the synthetic cohort, the MC4R variant was associated with a threefold increased mortality risk (HR = 3.15; 95% CI: 2.06–4.82; p © 2025, CC BY.","26","Principal component analysis","Biomarkers - Diseases - Learning systems - Molecular biology - Statistics - Tumors","Bio-marker discovery - Cancer genomics - Condition - Germ cells - MC4R - Repurposing - Statistical power - Synthetic data - Synthpop - Testicular germ cell tumor","102.1.1 Cancer Research - 102.1.2 Health Science - 103 Biology - 801.1 Biochemistry - 1101.2 Machine Learning - 1202.2 Mathematical Statistics","",,,,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"AI-Enhanced Supercomputing for Next-Generation Astronomical Data Processing in Latin America: A Case Study of the ALMA Observatory","Lefranc, Gastón (1); Gatica, Gabriel (2); Vásquez, Edison (3); Peña, Mario (4) ","(1) Pontificia Universidad Católica de Valparaíso, Avda. Brasil2950, Valparaíso; 2430000, Chile (2) Startup I+D+i Inteligencia Artificial, ARTIFICYAN, Viña del Mar, Chile (3) JhedAI Startup., Viña del Mar, Chile (4) IIMAS-UNAM, Ciudad de México, Mexico ","Procedia Computer Science","Elsevier B.V.","v 266","p 150-157","2025","12th International Conference on Information Technology and Quantitative Management, ITQM 2025","2025","","","18770509","","10.1016/j.procs.2025.08.019","12th International Conference on Information Technology and Quantitative Management, ITQM 2025","August 15, 2025 - August 17, 2025","","This paper presents a proposal for improving the data processing workflow within an AI-powered supercomputing framework for the Atacama Large Millimetre/submillimeter Array (ALMA) Observatory. This framework aims to reduce processing times by 40% to 60%, improve image resolution, and increase data calibration accuracy. A high-performance computing (HPC) architecture with a GPU and artificial intelligence (AI) hardware for astronomical data management is described. The importance of such infrastructure for scientific advancement in developing countries is highlighted by analyzing implementation strategies, cost-benefit analyses, and technology transfer. © 2025 The Authors.","28","Radio astronomy","Computer architecture - Cost benefit analysis - Data handling - Image resolution - Information management - Observatories - Supercomputers - Technology transfer","Astronomical data - Atacama Large Millimeter/sub-millimeter Array (ALMA) - Atacamum large millimeter/submillimeter array observatory - Case-studies - GPU accelerations - High-performance computing - Latin America - Performance computing - Supercomputing - Work-flows","656.2 Space Research - 716.3 Radio Systems and Equipment - 903 Information Science - 911.1 Cost Accounting - 912.2 Management - 1103.4 Digital Computers and Systems - 1104 Computer Architecture - 1106.2 Data Handling and Data Processing - 1106.3.1 Image Processing - 1302 Astronomy","",,,,"All Open Access, Gold","Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"NavTopo: Leveraging Topological Maps for Autonomous Navigation of a Mobile Robot","Muravyev, K. (1); Yakovlev, K. (1) ","(1) Russian Academy of Sciences, Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","144-57","2024","","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_11","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","Autonomous navigation of a mobile robot is a challenging task which requires ability of mapping, localization, path planning and path following. Conventional mapping methods build a dense metric map like an occupancy grid, which is affected by odometry error accumulation and consumes a lot of memory and computations in large environments. Another approach to mapping is the usage of topological properties, e.g. adjacency of locations in the environment. Topological maps are less prone to odometry error accumulation and high resources consumption, and also enable fast path planning because of the graph sparsity. Based on this idea, we proposed NavTopo - a full navigation pipeline based on topological map and two-level path planning. The pipeline localizes in the graph by matching neural network descriptors and 2D projections of the input point clouds, which significantly reduces memory consumption compared to metric and topological point cloud-based approaches. We test our approach in three large indoor photo-relaistic simulated environments and compare it to a metric map-based approach based on popular metric mapping method RTAB-MAP. The experimental results show that our topological approach significantly outperforms the metric one in terms of performance with 8 times less memory usage and two orders less path planning time, keeping proper navigational efficiency.","33",,"graph theory - mobile robots - path planning - robot vision - SLAM (robots)","autonomous navigation - conventional mapping methods - dense metric map - fast path planning - metric map-based approach - metric point cloud-based approaches - mobile robot - navigation pipeline - NavTopo - odometry error accumulation - popular metric mapping method RTAB-MAP - topological approach - topological map - topological point cloud-based approaches - two-level path planning","C1160 Combinatorial mathematics - C3120C Spatial variables control - C3390C Mobile robots - C5260B Computer vision and image processing techniques","G06T - G05D3/00 - G05D1/00 - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
