Title,Author,Author affiliation,Source,Publisher/Repository,Volume and Issue,Pages,Issue date,Monograph title,Publication year,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider
"PCICUNAM at WASSA 2024: Cross-lingual Emotion Detection Task with Hierarchical Classification and Weighted Loss Functions","Vázquez-Osorio, Jesus (1, 2); Sierra, Gerardo (1, 3); Gómez-Adorno, Helena (1, 4); Bel-Enguix, Gemma (1, 3) ","(1) Universidad Nacional Autónoma de México, Mexico (2) Posgrado en Ciencia e Ingeniería de la Computación, Mexico (3) Instituto de Ingeniería, Mexico (4) Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Mexico ","WASSA 2024 - 14th Workshop on Computational Approaches to Subjectivity, Sentiment, and Social Media Analysis, Proceedings of the Workshop","Association for Computational Linguistics (ACL)","","p 490-494","2024","WASSA 2024 - 14th Workshop on Computational Approaches to Subjectivity, Sentiment, and Social Media Analysis, Proceedings of the Workshop","2024","","","9798891761568","","","14th Workshop on Computational Approaches to Subjectivity, Sentiment, and Social Media Analysis, WASSA 2024","August 15, 2024","","This paper addresses the shared task of multilingual emotion detection in tweets, presented at the Workshop on Computational Approaches to Subjectivity, Sentiment, and Social Media Analysis (WASSA) co-located with the ACL 2024 conference. The task involves predicting emotions from six classes in tweets from five different languages using only English for model training. Our approach focuses on addressing class imbalance through data augmentation, hierarchical classification, and the application of focal loss and weighted cross-entropy loss functions. These methods enhance our transformer-based model’s ability to transfer emotion detection capabilities across languages, resulting in improved performance despite the constraints of limited computational resources. © 2024 Association for Computational Linguistics.","13","Tweets","Computational linguistics - Emotion Recognition - Modeling languages","Class imbalance - Co-located - Computational approach - Cross-lingual - Detection tasks - Emotion detection - Hierarchical classification - Model training - Social media analysis - Weighted loss function","972.2 Entertainment - 1101 Artificial Intelligence - 1102.1 Computer Theory, Includes Computational Logic, Automata Theory, Switching Theory, Programming Theory - 1106.4 Database Systems - 1106.8 Computer Vision","",,"Number: -, Acronym: Conahcyt, Sponsor: Consejo Nacional de Humanidades, Ciencias y Tecnolog&iacute;as; ","This work was carried out as part of PAPIIT project IT100822, IN104424 and the project CF2023-G64, which is funded by\u2019Consejo Nacional de Humanidades, Ciencias y Tecnolog\u00EDas (CONAHCYT)\u2019. We also extend our gratitude to our colleagues and mentors for their invaluable guidance and assistance throughout this project.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Real-Time Probabilistic Reachability Forecasting for Gliders in the Gulf of Mexico","Mule, E.M. (1); Haley, P.J. (1); Mirabito, C. (1); Dimarco, S.F. (2); Mahmud, S. (2); Dancer, A. (2); Ge, X. (2); Knap, A.H. (2); Liu, Y. (2); Nwankwo, U.C. (2); Glenn, S. (3); Miles, T.N. (3); Aragon, D. (3); Coleman, K. (3); Smith, M. (3); Leber, M. (4); Ramos, R. (4); Storie, J. (4); Stuart, G. (5); Marble, J. (5); Barros, P. (5); Chassignet, E.P. (6); Bower, A. (7); Furey, H.H. (7); De La Cruz, B. Jaimes (8); Shay, L.K. (8); Tenreiro, M. (9); Sanz, E. Pallas (9); Sheinbaum, J. (9); Perez-Brunius, P. (9); Wilson, D. (10); Van Smirren, J. (11); Monreal-Jiménez, R. (12); Salas-De-León, D.A. (12); Tereza, V.K. Contreras (13); Feldman, M. (14); Khadka, M. (14); Lermusiaux, P.F.J. (1) ","(1) Massachusetts Institute of Technology, Department of Mechanical Engineering, Cambridge; MA, United States (2) Texas A&m University, Department of Oceanography, United States (3) Rutgers University, Department of Marine and Coastal Sciences, United States (4) Woods Hole Group, Inc., United States (5) Fugro, Netherlands (6) Department of Earth, Ocean and Atmospheric Science, Florida State University, United States (7) Physical Oceanography, Woods Hole Oceanographic Institution, United States (8) Rosenstiel School of Marine, Atmospheric, and Earth Science, University of Miami, United States (9) Cicese, Department of Oceanography, Mexico (10) University of the Virgin Islands, United States Virgin Islands (11) Ocean Sierra, United States (12) Universidad Nacional Autónoma de Mexico, Mexico (13) Mexican Institute of Water Technology, Mexico (14) Gulf Research Program, Nasem, United States ","Oceans Conference Record (IEEE)","Institute of Electrical and Electronics Engineers Inc.","","","2024","OCEANS 2024 - Halifax, OCEANS 2024","2024","01977385","","9798331540081","10.1109/OCEANS55160.2024.10754057","","OCEANS 2024 - Halifax, OCEANS 2024","September 23, 2024 - September 26, 2024","","As part of the Mini-Adaptive Sampling Test Run (MASTR) experiment in the Gulf of Mexico (GoM) region from February to April 2024, we demonstrated real-time deterministic and probabilistic reachability analysis and time-optimal path planning to guide a fleet of four ocean gliders. The governing differential equations for reachability analysis and time-optimal path planning were numerically integrated in real-time and forced by currents from our large-ensemble ocean forecasts. We illustrate the real-time deterministic and probabilistic forward reachability analyses, reachability and path planning for glider pickups, time-optimal path planning for gliders in distress, and planning of future glider deployments. Results show that the actual paths of gliders were contained within our reachable set forecasts and in accord with the dynamic reachability fronts. Our time-optimal headings and paths also predicted real glider motions, even for longer-range predictions of weeks to a month duration. Reachability and time-optimal path planning forecasts were successfully employed for glider recovery. They also enabled exploring options for future glider deployments. © 2024 IEEE.","91","Gliders","Weather forecasting","Adaptive sampling - Gulf of Mexico - Ocean forecasting - Probabilistic forecasting - Probabilistics - Reachability - Reachability analysis - Real- time - Sea glider - Time-optimal path planning","443 Meteorology - 652.5 Balloons and Gliders","",,"Number: 2000013149, Acronym: -, Sponsor: Gulf Research Program; Number: -, Acronym: -, Sponsor: Gulf Research Program; ","We thank all members of the MIT-MSEAS group and all of our Gulf of Mexico colleagues. We also thank the HYCOM Consortium and Mercator Ocean for their ocean model fields, and Matthew Pyle, Eric Rogers, Geoff DiMego, and Arun Chawla of NCEP for their atmospheric forecasts. We acknowledge support from the Gulf Research Program of the National Academies of Sciences, Engineering, and Medicine under award number 2000013149. The content is solely the responsibility of the authors and does not necessarily represent the official views of the Gulf Research Program or the National Academies of Sciences, Engineering, and Medicine.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Emotion detection based on infrared thermography: A review of machine learning and deep learning algorithms","Calderon-Uribe, S. (1); Morales-Hernandez, L.A. (1); Guzman-Sandoval, V.M. (2); Dominguez-Trejo, B. (3); Cruz-Albarran, I.A. (1, 4) ","(1) Autonomous University of Queretaro Campus San Juan del Rio, Faculty of Engineering Laboratory of Artificial Vision and Thermography/Mechatronics, Mexico (2) University of Colima, Psychology/Psychology Faculty, Mexico (3) National Autonomous University of Mexico, Postgraduate Studies Division Psychology Faculty, Mexico (4) Campus San Juan del Rio Autonomous University of Queretaro, Faculty of Engineering, Mexico ","Infrared Physics & Technology","Elsevier B.V., Netherlands","v 145","105669","2025","","","1879-0275","","","10.1016/j.infrared.2024.105669","","","","","Thermography has proven to be a valuable tool in the study of psychology and the understanding of emotional states, analyzing how they influence perception, thought and human behavior; the development of technologies capable of monitoring the emotional state of people has become an open field of research, with implications in areas such as robotics, marketing, education and, more specifically, medicine. The aim of this review is to provide an overview of the methods used for automatic identification of affective states using infrared thermography. In this work, we have reviewed most of the state-of-the-art articles published on this topic, specifically considering a methodology based on Machine Learning (ML) and Deep Learning (DL) models, focusing on the six most popular emotion categories used by consumers of emotion research: anger, disgust, fear, happiness, sadness, and surprise, using databases such as IRIS, NIST, VIRI, among others. The articles were analyzed in terms of the use of thermographic images to develop a methodology oriented to the detection of emotions, from identifying regions of interest (such as lips, eyebrows, nose, eyes, etc.) and correlating specific emotions with temperature variations within those regions, to using complex algorithms based on ML and DL. The results show that there is a significant increase in the use of infrared thermography as a tool for emotion detection, with a trend towards the use of DL algorithms in recent years, due to its ease in the process of automatic feature extraction and its versatility in pattern recognition from images, obtaining models with over 90% accuracy. Finally, the importance of these findings is emphasized, highlighting not only the challenges inherent in the need for robust data processing, but also the societal implications of ensuring that the data and conclusions are applicable and relevant in real-world contexts. All rights reserved Elsevier.","110",,"deep learning (artificial intelligence) - emotion recognition - feature extraction - infrared imaging - learning (artificial intelligence) - psychology","affective states - automatic identification - complex algorithms - deep learning algorithms - Deep Learning models - DL algorithms - emotion detection - emotion research - emotional states - human behavior - infrared thermography - machine learning - popular emotion categories - sadness - specific emotions - state-of-the-art articles","C5260B Computer vision and image processing techniques - B6135E Image recognition - C6264 Neural nets","G06N3/02 - G06T - G06N20/00","Bibliography (BIB); Practical (PRA)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Agent-Driven BFS Tree in Anonymous Graphs with Applications","Chand, P.K. (1); Kumar, M. (2); Molla, A.R. (1) ","(1) Indian Statistical Institute, India (2) Indian Institute of Technology Madras, India ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","Springer Nature, Berlin, Germany","","67-82","2024","","","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_4","","International Conference on Networked Systems","2024","Rabat, Morocco","Breadth-First-Search (BFS) trees serve a pivotal role in designing efficient graph algorithms due to their efficacy in traversing and exploring graph structures with a systematic layer-by-layer approach. This paper introduces an agent-based novel approach for constructing a BFS tree on an arbitrary anonymous graph G with n nodes and m edges using k ≥ n autonomous mobile agents. In this paper, we provide algorithms for BFS tree construction for different starting configurations and demonstrate their applications. Our main result considers the dispersed starting configuration (i.e., each node is occupied by a single agent at the start) and takes O ( D Δ ) rounds to execute, where D is the diameter and Δ is the highest degree of G . The algorithm assumes the knowledge of a root node for the BFS tree. We further continue our investigation for BFS tree construction with two other classical configurations, namely, rooted configuration and arbitrary configuration (with and without the knowledge of root ) of the agents with some other follow-up configurations for k > n . In addition, the paper demonstrates the application of the BFS tree construction methodology in tasks like - checking a graph for bipartiteness and gathering agents into a single node, a fundamental task in distributed robotics.","27",,"graph theory - mobile agents - mobile robots - trees (mathematics)","agent-based novel approach - agent-driven BFS tree - anonymous graphs - arbitrary anonymous graph - arbitrary configuration - BFS tree construction methodology - bipartiteness - breadth-First-Search trees - classical configurations - different starting configurations - efficient graph algorithms - exploring graph structures - gathering agents - layer-by-layer approach - n autonomous mobile agents - root node - rooted configuration - traversing","B0250 Combinatorial mathematics - C1160 Combinatorial mathematics - C3390C Mobile robots","G05D1/00","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Camera-Based Navigation: Convolutional Neural Networks vs Rule-Based Approaches","Boes, S. (1); Algorri, M.-E. (1); Köhn, H. (1) ","(1) TH Köln - University of Applied Sciences, Germany ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","171-85","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_13","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","We compare the performance of rule-based image processing algorithms for autonomous navigation with that of a Convolutional Neural Network approach based on an Nvidia CNN architecture. We detail our implementation of Hough-Transform-based and pixel-based navigation algorithms and discuss their advantages and disadvantages, including a quantitative comparison of their navigation performance in terms of speed, stability and reliability. We describe how rule-based algorithms can be used to train Convolutional Neural Networks that result in enhanced navigation with high speed, stability and reliability. We discuss the advantages of training Convolutional Neural Networks with binary images instead of colour images and the resulting enhanced performance. We present our experiments on autonomous navigation with model cars racing on unknown tracks using the different algorithms and conclude with some recommendations for the use of each algorithm.","15",,"cameras - convolutional neural nets - Hough transforms - image processing - knowledge based systems - navigation - neural net architecture","autonomous navigation - binary images - camera-based navigation - colour images - Convolutional Neural Network approach - enhanced navigation - Hough-Transform-based navigation algorithms - model cars - navigation performance - Nvidia CNN architecture - pixel-based navigation algorithms - quantitative comparison - resulting enhanced performance - rule-based approaches - rule-based image processing algorithms","C5260B Computer vision and image processing techniques - B6135 Optical, image and video signal processing - C6264 Neural nets","G06T - G06N3/02 - G03B17/00 - G03B19/00 - G01C21/00","Practical (PRA)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Parameter Identification Algorithm for a LTV System with Partially Unknown State Matrix","Kozachek, O. (1); Nikolaev, N. (1); Slita, O. (1); Bobtsov, A. (1) ","(1) ITMO University, 49 Kronverkskiy Av., Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","306-19","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_23","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","This work is devoted to the problem of unknown parameters identification for the case when the state of the system is not measured directly and only the input and output signals of the system are known. In this paper an adaptive state observer and parameter identification algorithm for a linear time-varying (LTV) system is developed. The state matrix of the system under consideration contains unknown time-varying parameters of a known form. Every unknown parameter can be described by a second-order dynamical system, generating sinusoidal signal with unknown frequency and initial conditions. The developed algorithm allows to observe the state vector without identification of the unknown parameters using only measured output signal and known input signal. As soon as the state vector estimate is obtained, the parameter identification algorithm is applied to find unknown parameters of the system. The identification algorithm that was proposed in previous papers of the authors is used for this purpose. The system that is considered in the paper is written as general linear time-varying model. Since many nonlinear systems after linearization can be transformed into linear time-varying systems, the proposed algorithm can be applied for different technical objects, such as mobile robots, manipulators, electro-mechanical systems, etc.","15",,"linear systems - mobile robots - nonlinear control systems - nonlinear systems - observers - parameter estimation - time-varying systems","adaptive state observer - electro-mechanical systems - general linear time-varying model - known input signal - linear time-varying system - LTV system - measured output signal - nonlinear systems - output signals - parameter identification algorithm - partially unknown state matrix - second-order dynamical system - state vector estimate - unknown frequency - unknown parameter - unknown parameters identification - unknown time-varying parameters","C1220 Simulation, modelling and identification - C1320 Stability in control theory - C1340L Linear control systems - C1340K Nonlinear control systems - C1340G Time-varying control systems - C3390C Mobile robots","G05B - G05D1/00","Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Keep it Simple: Understanding Natural Language Commands for General-Purpose Service Robots","Ortuno-Chanelo, S. (1); Contreras, L. (2); Savage, J. (1); Okada, H. (2) ","(1) National Autonomous University of Mexico, Biorobotics Laboratory School of Engineering (2) Tamagawa University, Advance Intelligence and Robotics Research Center ","2024 IEEE/SICE International Symposium on System Integration (SII)","IEEE, Piscataway, NJ, USA","","1320-5","2024","","","","","979-8-3503-1207-2","10.1109/SII58957.2024.10417341","","2024 IEEE/SICE International Symposium on System Integration (SII)","2024","Ha Long, Vietnam","Service robots are designed to perform useful tasks for humans, which involve managing and combining a variety of skills in the form of global and local plans to solve any given task. In this work, we propose a framework to process natural language commands for general-purpose service robots where the robot should perform an arbitrary spoken command requested by a non-expert operator. Our system uses a Natural Language Processing (NLP) parser and a Conceptual Dependency (CD) builder to create CD structures that an expert system can employ to generate a global plan that the robot will execute. An extra simplification step using Large Language Models (LLM) was tested and evaluated in order to improve the accuracy of the system. Finally, our system has been tested in challenging environments in robot competitions and we have achieved promising results.",,,"mobile robots - natural language processing - service robots","arbitrary spoken command - Conceptual Dependency builder - expert system - general-purpose service robots - global plan - global plans - Language Models - local plans - Natural Language Processing parser - nonexpert operator - robot competitions - understanding Natural Language commands - useful tasks","C3390C Mobile robots - C6180N Natural language interfaces - C7820N Natural language processing","G06F40/00 - G05D1/00","Practical (PRA)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Algorithms for Planning Trajectory of a Modular Wheeled In-Pipe Robot","Nasibullayev, I. (1); Darintsev, O. (1) ","(1) Mavlyutov Institute of Mechanics UFRC RAS, 71 October Avenue, Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","251-64","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_19","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","The 2D and 3D mathematical and computer models of the kinematics of a modular wheeled robot when it moves inside the pipe for inspection of the inner surface are presented in this paper. In the 2D model the transition of the leading module from a linear trajectory to an arc with a constant radius and subsequent exit to a straight trajectory is considered. A numerical algorithm for the driven modules motion based on the position of the leading module and the constraint equation is constructed. As the analysis results of the simulation data, the dependence of the deviation between leading and driven modules trajectories versus the radius of the curved section is revealed. The optimal trajectory of the robot movement inside the curved pipe is synthesized in which all modules remain within the safety zone, considering the deviations of the modules from the trajectory of the first one. An analytical 3D model is obtained which allows calculating the following movements: along the helical line trajectory (working mode of pipe inspection); dynamic change in the pitch of the helix; transition to movement along the circumference or along the pipe. The deviations of the trajectory of the driven modules from the trajectory of the leading module are analyzed and structural methods of reducing the magnitude of these deviations are proposed. Computer models were coded with the C++ and Python programming languages. The visualization of the modular robot movement was carried out by the 3D modeling software Blender.","17",,"inspection - mobile robots - pipes - position control - Python - robot kinematics - solid modelling","3D mathematical - 3D modeling software Blender - analytical 3D model - computer models - constant radius - curved pipe - driven modules motion - helical line trajectory - leading module - linear trajectory - modular robot movement - Modular Wheeled In-Pipe Robot - modular wheeled robot - numerical algorithm - optimal trajectory - pipe inspection - planning trajectory - straight trajectory","E2210 Mechanical components - E2230 Robot and manipulator mechanics - C3120C Spatial variables control - C3390C Mobile robots - C6130B Graphics techniques","G05D3/00 - G05D1/00 - F16L - G06F8/40","Practical (PRA)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"A Technique of Distributed Missions Assignment Problem Solving in Heterogeneous Groups of Aerial Rescue Robots","Klimenko, A. (1); Barinov, A. (2) ","(1) State University, 25/2 Kirovogradskaya St., Russia (2) Trapeznikov Institute of Control Sciences, 65 Profsoyuznaya St., Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","392-406","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_30","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","This research considers a problem of distributed missions assignment in the heterogeneous group of aerial rescue robots, which function without obstacles on plain landscape. A new technique of distributed missions assignment problem solving is proposed, based on the metaheuristic optimization algorithms independent runs, which are launched on robots in a distributed manner. The novelty of the technique is that metaheuristics instances with varying computational complexities are formed and distributed through the heterogeneous robotic group with the usage of efficient algorithms for the block size forming and assignment. Computational complexities of metaheuristics instances are formed with two contradictory criteria: the first one is the minimization of the makespan of the missions assignment problem solving via independent runs, the second one is the metaheuristic instance maximization because of the solution quality degrading in case of small number of algorithm iterations. This improves the makespan of distributed missions assignment problem solving significantly without considerable degrading of the overall missions assignment result. Selected simulation results demonstrate the improvement of overall mission assignment time up to 2 times with the mission assignment solution degrading less than 26% in the worst case and without degrading in the best case.","32",,"computational complexity - metaheuristics - mobile robots - multi-robot systems - optimisation - rescue robots - search problems","aerial rescue robots - block size - distributed missions assignment problem solving - heterogeneous group - heterogeneous robotic group - metaheuristic optimization algorithms independent runs - metaheuristics instances - mission assignment solution - mission assignment time up to 2 times - missions assignment result","B0260 Optimisation techniques - C1180 Optimisation techniques - C3390C Mobile robots - C4240C Computational complexity","G05D1/00","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Development of a Dynamic Model of an Underwater Manipulator in Identification Form","Filaretov, V. (1); Zuev, A. (1, 2); Timoshenko, A. (2, 3) ","(1) Institute of Automation and Control Processes, 5 Radio St., Russia (2) M.D. Ageev Institute of Marine Technology Problems FEB RAS, 5a Sukhanova St, Russia (3) Far Eastern Federal University, 12/2 Mordovtseva St., Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","73-87","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_6","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","The paper proposes a new method for constructing dynamic models of underwater manipulators installed on board autonomous underwater vehicles. These models are designed to identify unknown parameters of the interaction of an underwater manipulator with a viscous medium during its movement. A feature of these models is that unknown parameters, including coefficients of added masses and damping coefficients, are included in the equations of dynamics of the manipulator linearly relative to known kinematic parameters. These coefficients can be determined using classical identification methods such as the least squares method or methods based on the application of the linear Kalman filter. The identified parameters can then be used in adaptive underwater manipulator control systems to implement automatic execution of underwater technological operations. To do this, the identification procedure must be carried out in close proximity to the intended working area of the underwater vehicle with a manipulator, where the desired coefficients can be considered constant. The correctness of the proposed models and the possibility of identifying these coefficients were verified during mathematical simulation of the movement of an underwater vehicle with a manipulator mounted on it at various initial parameters of a viscous medium.","18",,"autonomous underwater vehicles - damping - Kalman filters - least squares approximations - manipulators - mobile robots - underwater vehicles","adaptive underwater manipulator control systems - added masses - board autonomous underwater vehicles - classical identification methods - damping coefficients - dynamic model - identification form - known kinematic parameters - underwater technological operations - underwater vehicle - unknown parameters - viscous medium","E2230 Robot and manipulator mechanics - C3120C Spatial variables control - C3360J Marine system control - C3390M Manipulators - C3390C Mobile robots","G05D1/00 - B25J - G05D3/00 - B63B - B63G8/00","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Evaluation of a Weather Plugin in Gazebo: A Case-Study of a Wind Influence on PX4-Based UAV Performance","Imamov, N. (1); Abbyasov, B. (2); Tsoy, T. (1); Martínez-García, E.A. (3); Magid, E. (1, 2) ","(1) Kazan Federal University, Intelligent Robotics Department, 35 Kremlyovskaya St., Russia (2) National Research University Higher School of Economics, Tikhonov Moscow Institute of Electronics and Mathematics, Tallinn Street 34, Russia (3) Autonomous University of Campeche, Department of Industrial Engineering and Manufacturing, Manuel Díaz H. No. 518-B, Mexico ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","344-56","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_26","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","Unmanned aerial vehicles (UAVs) are utilized in a wide range of real-world applications including search and rescue missions, 3D mapping, building inspection and reconstruction. In a real-world environment, severe weather conditions significantly impact UAV operations. Wind is one of the most dangerous weather factors that can destabilize and even destroy a UAV. Preparing UAV flight algorithms for real-world conditions in order to minimize risks of damage and malfunctioning is a crucial part of a UAV system development. This paper analyses a wind influence on UAV virtual model performance within the Gazebo simulator. The paper focuses on gazebo_wind_plugin package used for creating a windy virtual environment. PX4-LIRS package is used for simulating a UAV within the Gazebo. Three types of experiments were run to evaluate capabilities of the plugin to simulate typical issues that arise in real-world scenarios: a UAV wind resistance, a wind effect on a UAV tilt angle and on a flight velocity. Virtual experiments demonstrated that gazebo_wind_plugin could serve for PX4 UAV flight scenarios modeling in Gazebo simulation with a satisfactory level of realism.","25",,"aircraft control - autonomous aerial vehicles - mobile robots - remotely operated vehicles - rescue robots - robot programming - virtual reality","dangerous weather factors - Gazebo simulator - gazebo_wind_plugin package - PX4 UAV flight scenario - PX4-based UAV performance - PX4-LIRS package - search and rescue missions - UAV flight algorithms - UAV system development - UAV tilt angle - UAV virtual model performance - UAV wind resistance - unmanned aerial vehicles - weather plugin - wind influence - windy virtual environment","C3120C Spatial variables control - C3360L Aerospace control - C3390T Telerobotics - C3390C Mobile robots - C6130V Virtual reality - C7420 Control engineering computing","G05D3/00 - G05D1/00 - G05B15/00 - B64C13/00 - B64C15/00","Practical (PRA)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Preliminary Effects of a Robot-Based Therapy Program with Atlas-2030 in Children with Cerebral Palsy Receiving Care at a Specialized Rehabilitation Center","Salinas-Sánchez, I. (1); Huerta-Teutli, M.R. (2); Cordero-Cuevas, D. (2); Maldonado-Guerrero, G. (2); González-Carbonell, R.A. (3) ","(1) Universidad Politécnica de Aguascalientes, Department of Physical Therapy, Mexico (2) Association for People with Cerebral Palsy, Mexico (3) Universidad Nacional Autonoma de Mexico, National School of Higher Studies Juriquilla, Mexico ","Applied Sciences","MDPI, Switzerland","v 15, n 22","12047 (18 pp.)","2025","","","2076-3417","","","10.3390/app152212047","","","","","Robot-based rehabilitation emerges as a promise to enhance mobility and improve the rehabilitation outcomes in children with cerebral palsy. The study aimed to evaluate the preliminary effects of a robot-based therapy program with Atlas-2030 on spatiotemporal gait parameters, pelvis kinematics, gross-motor function, quality of life, and joint range-of-motion in children with cerebral palsy receiving care at a specialized rehabilitation center. This is a single-arm, institution-based, quantitative, longitudinal, pilot study with repeated measures. Sixteen sessions of a robot-based therapy program with the Atlas-2030 wearable exoskeleton were applied to all the children from APAC-IAP in Mexico City with cerebral palsy. Pre-intervention, after eight and sixteen sessions, the GMFM-66, the CP QoL-Child, and gait analysis were performed. The results suggest that an Atlas-2030 robot-based therapy program combined with therapeutic stimulation exhibited better scores on the modified Ashworth scale: hip flexors and extensors: 2.0(1.0), knee flexors and extensors: 2.0(2.9), p > 0.0167, and experience enhanced range of motion in hip flexion: 122.5(5) deg, and extension: 11(5) deg and knee extension: 0(5) deg, p p > 0.0167) reducing the difference in laterality, inducing physiological muscle activation patterns, and higher scores in quality of life regarding well-being and acceptance: 17(1.0) and emotional well-being and self-esteem: 14.5 (1.0), p > 0.0167. The limitations of this study include the following: recruitment from a single specialty care center, the absence of a control group, and the adjusted significance level of p < 0.0167, which may lead to false negatives.","50",,"gait analysis - health care - kinematics - medical disorders - medical robotics - muscle - paediatrics - patient rehabilitation","APAC-IAP - Atlas-2030 robot-based therapy program - Atlas-2030 wearable exoskeleton - cerebral palsy receiving care - CP QoL-child - gait analysis - GMFM-66 - gross-motor function - hip flexion - hip flexors - joint range-of-motion - knee extension - knee flexors - modified ashworth scale - pelvis kinematics - physiological muscle activation patterns - rehabilitation outcomes - robot-based rehabilitation - spatiotemporal gait parameters - specialized rehabilitation center - therapeutic stimulation","C3390 Robotics - B7520H Aids for the handicapped - A8745D Physics of body movements - A8770G Patient care and treatment","","Bibliography (BIB); Practical (PRA); Experimental (EXP)",,,"All Open Access, Gold","Inspec","Copyright 2026, The Institution of Engineering and Technology","Engineering Village"
